submitted_answer_id,attempt_id,question_id,option_id,updated_dt,updated_by,created_dt,created_by
1,1,201,302,2025-09-20 10:31:00+08,student.dev,2025-09-20 10:31:00+08,student.dev
2,1,202,305,2025-09-20 10:32:00+08,student.dev,2025-09-20 10:32:00+08,student.dev
3,1,202,306,2025-09-20 10:32:00+08,student.dev,2025-09-20 10:32:00+08,student.dev
4,1,203,311,2025-09-20 10:33:00+08,student.dev,2025-09-20 10:33:00+08,student.dev
5,1,204,315,2025-09-20 10:34:00+08,student.dev,2025-09-20 10:34:00+08,student.dev
6,1,205,317,2025-09-20 10:35:00+08,student.dev,2025-09-20 10:35:00+08,student.dev
7,1,205,318,2025-09-20 10:35:00+08,student.dev,2025-09-20 10:35:00+08,student.dev
8,1,205,319,2025-09-20 10:35:00+08,student.dev,2025-09-20 10:35:00+08,student.dev
9,1,206,321,2025-09-20 10:36:00+08,student.dev,2025-09-20 10:36:00+08,student.dev
10,1,207,325,2025-09-20 10:37:00+08,student.dev,2025-09-20 10:37:00+08,student.dev
11,1,208,331,2025-09-20 10:38:00+08,student.dev,2025-09-20 10:38:00+08,student.dev
12,1,209,333,2025-09-20 10:39:00+08,student.dev,2025-09-20 10:39:00+08,student.dev
13,1,209,334,2025-09-20 10:39:00+08,student.dev,2025-09-20 10:39:00+08,student.dev
14,1,209,335,2025-09-20 10:39:00+08,student.dev,2025-09-20 10:39:00+08,student.dev
15,1,209,336,2025-09-20 10:39:00+08,student.dev,2025-09-20 10:39:00+08,student.dev
16,1,210,337,2025-09-20 10:40:00+08,student.dev,2025-09-20 10:40:00+08,student.dev
17,1,210,338,2025-09-20 10:40:00+08,student.dev,2025-09-20 10:40:00+08,student.dev
18,1,210,339,2025-09-20 10:40:00+08,student.dev,2025-09-20 10:40:00+08,student.dev
